location,reproduction_rate,people_vaccinated_per_hundred
Poland,1.06,3.73
Poland,1.07,3.82
Poland,1.08,3.87
Poland,1.08,3.9
Poland,1.09,3.97
Poland,1.12,4.07
Poland,1.17,4.26
Poland,1.19,4.47
Poland,1.2,4.61
Poland,1.19,4.68
Poland,1.18,4.72
Poland,1.17,4.82
Poland,1.2,4.93
Poland,1.23,5.18
Poland,1.24,5.18
Poland,1.22,5.55
Poland,1.19,5.55
Poland,1.16,5.68
Poland,1.12,5.79
Portugal,1.29,0.32
Portugal,1.27,0.32
Portugal,1.28,0.32
Portugal,1.31,0.33
Portugal,1.35,0.46
Portugal,1.4,0.6
Portugal,1.41,0.7
Portugal,1.39,0.73
Portugal,1.36,0.73
Portugal,1.32,0.73
Portugal,1.3,0.74
Portugal,1.29,0.84
Portugal,1.3,0.98
Portugal,1.29,1.09
Portugal,1.28,1.16
Portugal,1.26,1.18
Portugal,1.24,1.18
Portugal,1.22,1.21
Portugal,1.23,1.36
Portugal,1.23,1.56
Portugal,1.22,1.83
Portugal,1.19,2.07
Portugal,1.16,2.17
Portugal,1.12,2.21
Portugal,1.08,2.21
Portugal,1.06,2.21
Portugal,1.05,2.21
Portugal,1.02,2.21
Portugal,0.97,2.5
Portugal,0.92,2.6
Portugal,0.86,2.63
Portugal,0.81,2.65
Portugal,0.77,2.66
Portugal,0.74,2.7
Portugal,0.71,2.74
Portugal,0.67,2.79
Portugal,0.64,2.85
Portugal,0.6,2.86
Portugal,0.57,2.86
Portugal,0.55,2.88
Portugal,0.54,2.93
Portugal,0.53,2.97
Portugal,0.51,3.05
Portugal,0.5,3.14
Portugal,0.49,3.22
Portugal,0.48,3.25
Portugal,0.48,3.3
Portugal,0.49,3.4
Portugal,0.49,3.54
Portugal,0.49,3.81
Portugal,0.48,4.06
Portugal,0.47,4.21
Portugal,0.47,4.24
Portugal,0.48,4.36
Portugal,0.49,4.6
Portugal,0.49,4.87
Portugal,0.48,5.28
Portugal,0.48,5.63
Portugal,0.47,5.85
Portugal,0.46,5.92
Romania,0.91,0.06
Romania,0.91,0.07
Romania,0.93,0.07
Romania,0.95,0.13
Romania,0.98,0.22
Romania,0.99,0.3
Romania,0.99,0.4
Romania,0.97,0.48
Romania,0.95,0.53
Romania,0.93,0.56
Romania,0.91,0.65
Romania,0.91,0.73
Romania,0.91,0.8
Romania,0.89,0.8
Romania,0.88,0.95
Romania,0.87,1.02
Romania,0.85,1.06
Romania,0.85,1.21
Romania,0.86,1.39
Romania,0.86,1.57
Romania,0.87,1.76
Romania,0.87,1.95
Romania,0.87,2.11
Romania,0.87,2.25
Romania,0.88,2.39
Romania,0.9,2.54
Romania,0.92,2.67
Romania,0.92,2.78
Romania,0.92,2.88
Romania,0.92,2.97
Romania,0.91,3.04
Romania,0.92,3.11
Romania,0.94,3.17
Romania,0.95,3.22
Romania,0.96,3.27
Romania,0.96,3.32
Romania,0.96,3.37
Romania,0.96,3.41
Romania,0.97,3.44
Romania,0.99,3.47
Romania,1,3.49
Romania,1,3.51
Romania,1,3.53
Romania,1,3.55
Romania,1,3.57
Romania,1.01,3.62
Romania,1.03,3.72
Romania,1.05,3.82
Romania,1.06,3.92
Romania,1.07,4.01
Romania,1.07,4.1
Romania,1.08,4.17
Romania,1.09,4.26
Romania,1.11,4.35
Romania,1.13,4.44
Romania,1.13,4.53
Romania,1.13,4.63
Romania,1.12,4.71
Romania,1.11,4.76
Romania,1.1,4.92
Slovenia,1.07,0.53
Slovenia,1.06,0.55
Slovenia,1.06,0.58
Slovenia,1.07,0.63
Slovenia,1.1,0.75
Slovenia,1.11,1
Slovenia,1.09,1.25
Slovenia,1.06,1.41
Slovenia,1.03,1.42
Slovenia,1,1.42
Slovenia,0.99,1.44
Slovenia,0.99,1.53
Slovenia,0.98,1.75
Slovenia,0.97,2.07
Slovenia,0.95,2.3
Slovenia,0.94,2.32
Slovenia,0.92,2.32
Slovenia,0.92,2.32
Slovenia,0.93,2.35
Slovenia,0.94,2.4
Slovenia,0.93,2.47
Slovenia,0.93,2.52
Slovenia,0.92,2.54
Slovenia,0.91,2.54
Slovenia,0.92,2.54
Slovenia,0.93,2.54
Slovenia,0.94,2.55
Slovenia,0.93,2.58
Slovenia,0.92,2.61
Slovenia,0.91,2.61
Slovenia,0.9,2.61
Slovenia,0.9,2.61
Slovenia,0.9,2.61
Slovenia,0.9,2.62
Slovenia,0.89,2.65
Slovenia,0.87,2.67
Slovenia,0.87,2.67
Slovenia,0.86,2.67
Slovenia,0.85,2.69
Slovenia,0.87,2.69
Slovenia,0.89,2.81
Slovenia,0.89,3.13
Slovenia,0.89,3.46
Slovenia,0.88,3.49
Slovenia,0.87,3.49
Slovenia,0.87,3.49
Slovenia,0.88,3.55
Slovenia,0.9,3.78
Slovenia,0.9,4.18
Slovenia,0.9,4.48
Slovenia,0.9,4.6
Slovenia,0.89,4.6
Slovenia,0.89,4.62
Slovenia,0.91,4.69
Slovenia,0.91,5.01
Slovenia,0.91,5.51
Slovenia,0.91,5.85
Slovenia,0.9,5.9
Slovenia,0.88,5.9
Slovenia,0.87,5.95
Spain,1.31,0.18
Spain,1.32,0.3
Spain,1.33,0.37
Spain,1.34,0.44
Spain,1.34,0.59
Spain,1.33,0.61
Spain,1.33,0.76
Spain,1.35,0.87
Spain,1.34,1.04
Spain,1.33,1.24
Spain,1.31,1.45
Spain,1.3,1.64
Spain,1.28,1.73
Spain,1.27,1.84
Spain,1.27,1.92
Spain,1.25,2.05
Spain,1.23,2.16
Spain,1.21,2.25
Spain,1.19,2.35
Spain,1.17,2.4
Spain,1.15,2.46
Spain,1.15,2.5
Spain,1.13,2.53
Spain,1.1,2.57
Spain,1.08,2.61
Spain,1.06,2.63
Spain,1.04,2.65
Spain,1.02,2.68
Spain,1.01,2.68
Spain,0.99,2.71
Spain,0.97,2.74
Spain,0.95,2.79
Spain,0.93,2.79
Spain,0.91,2.79
Spain,0.9,2.82
Spain,0.89,2.84
Spain,0.87,2.87
Spain,0.86,2.95
Spain,0.85,3.04
Spain,0.83,3.04
Spain,0.82,3.04
Spain,0.81,3.19
Spain,0.81,3.27
Spain,0.81,3.36
Spain,0.8,3.5
Spain,0.8,3.77
Spain,0.79,3.77
Spain,0.78,3.97
Spain,0.78,4.05
Spain,0.79,4.19
Spain,0.78,4.41
Spain,0.78,4.71
Spain,0.78,5.05
Spain,0.78,5.15
Spain,0.78,5.35
Spain,0.78,5.49
Spain,0.79,5.65
United Kingdom,1.35,2.03
United Kingdom,1.34,2.03
United Kingdom,1.27,2.03
United Kingdom,1.27,2.21
United Kingdom,1.26,2.42
United Kingdom,1.22,2.54
United Kingdom,1.12,2.76
United Kingdom,1.22,2.87
United Kingdom,1.11,3.4
United Kingdom,1,3.37
United Kingdom,0.89,3.58
United Kingdom,0.87,3.89
United Kingdom,0.91,4.3
United Kingdom,0.94,4.77
United Kingdom,0.99,5.27
United Kingdom,0.84,5.7
United Kingdom,0.78,5.98
United Kingdom,0.77,6.28
United Kingdom,0.75,6.79
United Kingdom,0.84,7.33
United Kingdom,0.86,7.93
United Kingdom,0.88,8.63
United Kingdom,0.79,9.36
United Kingdom,0.71,9.68
United Kingdom,0.6,10.1
United Kingdom,0.6,10.55
United Kingdom,0.72,11.01
United Kingdom,0.82,11.62
United Kingdom,0.83,12.34
United Kingdom,0.74,13.22
United Kingdom,0.69,13.69
United Kingdom,0.65,14.21
United Kingdom,0.64,14.76
United Kingdom,0.72,15.45
United Kingdom,0.78,16.16
United Kingdom,0.77,16.89
United Kingdom,0.75,17.7
United Kingdom,0.69,18.11
United Kingdom,0.65,18.63
United Kingdom,0.62,19.24
United Kingdom,0.67,19.9
United Kingdom,0.72,20.64
United Kingdom,0.79,21.44
United Kingdom,0.74,22.19
United Kingdom,0.67,22.54
United Kingdom,0.65,22.94
United Kingdom,0.72,23.48
United Kingdom,0.83,24.19
United Kingdom,0.84,24.86
United Kingdom,0.84,25.41
United Kingdom,0.78,25.9
United Kingdom,0.76,26.11
United Kingdom,0.79,26.39
United Kingdom,0.74,26.87
United Kingdom,0.81,27.53
United Kingdom,0.82,28.25
United Kingdom,0.75,28.99
United Kingdom,0.68,29.59
United Kingdom,0.6,29.87
United Kingdom,0.59,30.17
United States,1.06,1.05
United States,1.09,1.26
United States,1.08,1.31
United States,1.08,1.36
United States,1.09,1.45
United States,1.11,1.59
United States,1.11,1.77
United States,1.09,2
United States,1.06,2.2
United States,1.03,2.4
United States,1,2.69
United States,0.99,2.79
United States,0.97,2.81
United States,0.96,2.9
United States,0.94,3.17
United States,0.91,3.3
United States,0.88,3.73
United States,0.86,3.98
United States,0.86,4.07
United States,0.87,4.27
United States,0.87,4.5
United States,0.86,4.86
United States,0.85,5.2
United States,0.84,5.53
United States,0.84,5.76
United States,0.84,5.95
United States,0.85,6.19
United States,0.85,6.49
United States,0.85,6.83
United States,0.83,7.2
United States,0.82,7.54
United States,0.81,7.78
United States,0.81,7.91
United States,0.81,8.12
United States,0.81,8.34
United States,0.8,8.64
United States,0.78,9.05
United States,0.77,9.44
United States,0.77,9.67
United States,0.77,9.83
United States,0.78,10.1
United States,0.78,10.38
United States,0.77,10.71
United States,0.76,11.08
United States,0.74,11.45
United States,0.73,11.58
United States,0.74,11.86
United States,0.76,12.04
United States,0.78,12.27
United States,0.8,12.55
United States,0.81,12.8
United States,0.82,13.05
United States,0.83,13.2
United States,0.86,13.32
United States,0.88,13.53
United States,0.88,13.78
United States,0.88,14.11
United States,0.86,14.48
United States,0.85,14.88
United States,0.84,15.17
